line,line_colour,line name,line name english,line name french
tokyo-metro-M,red,丸ノ内線,Marunouchi Line,Ligne Marunouchi
tokyo-metro-Mb,red,丸ノ内線分岐線,Marunouchi Line Branch Line,Ligne Marunouchi Ligne secondaire
tokyo-metro-F,brown,副都心線,Fukutoshin Line,Ligne Fukutoshin
tokyo-metro-C,green,千代田線,Chiyoda Line,Ligne Chiyoda
tokyo-metro-Z,purple,半蔵門線,Hanzōmon Line,Ligne Hanzōmon
tokyo-metro-N,dark aqua,南北線,Namboku Line,Ligne Namboku
tokyo-metro-H,silver,日比谷線,Hibiya Line,Ligne Hibiya
tokyo-metro-Y,gold,有楽町線,Yūrakuchō Line,Ligne Yūrakuchō
tokyo-metro-T,sky blue,東西線,Tōzai Line,Ligne Tōzai
tokyo-metro-G,orange,銀座線,Ginza Line,Ligne Ginza
